"","Station_code","CWV","ELV","AOD","PM2.5","Temp","RH","NDVI","WD","WS","BLH","Press","season","day","month","lon","lat","h2o_rf","h2o_rf_m","cvpreds_10","h2o_rf_m_10","cvpreds_sp","h2o_drf_sp","cvpreds_temp","h2o_drf_temp"
"833","20",4.9105,213.1667023,1.817026915,65.61,308.0120239,49.50987625,0.218689349,98.74519348,1.894852519,847.953186,973.3626563,"JJA","183",7,77.2011573,28.7256504,69.345537853241,68.0813528251648,68.3761832427979,67.7702143478394,70.7870572090149,68.0886994934082,72.7356913566589,68.0291103363037
"834","20",3.809,213.1667023,1.0415,45.40291667,298.6286011,81.1663208,0.228629188,327.4902649,1.772299767,320.0653076,985.4207813,"SON","277",10,77.2011573,28.7256504,45.4754708099365,45.5662233924866,44.5563552093506,45.582840461731,45.934953918457,45.7912808227539,96.4901536560059,45.7248672676086
"835","20",3,213.1667023,0.296,41.24291667,298.9647827,72.27854919,0.222433789,316.0734253,2.330893517,424.129364,985.2971875,"SON","278",10,77.2011573,28.7256504,41.8300984764099,40.6600597858429,40.856603679657,40.3402233505249,41.4249946022034,40.8922636985779,71.5987827682495,40.9989507675171
"836","20",2.4575,213.1667023,0.3005,49.15708333,298.7014465,66.7435379,0.2034,315.6917114,2.151447058,429.7284851,986.4959375,"SON","281",10,77.2011573,28.7256504,46.9717292022705,45.8052226448059,45.9452847099304,46.3657459831238,46.5559391021729,46.93798620224,83.1833278656006,46.4056083106995
"837","20",2.5005,213.1667023,0.656661595,74.49791667,298.1282959,71.39298248,0.1972005,142.8872528,1.579345942,396.1533508,986.6225781,"SON","282",10,77.2011573,28.7256504,75.9790024185181,74.4104949951172,76.6708289718628,73.9906709480286,80.4511121368408,74.6431521606445,90.1956446170807,74.451999797821
"838","20",2.533,213.1667023,0.647257124,103.70125,298.1942749,70.65638733,0.191214167,66.87864685,1.078973532,454.2936707,986.2984375,"SON","283",10,77.2011573,28.7256504,106.376193313599,106.39465297699,108.492707862854,105.792564735413,112.351474685669,107.157003555298,83.1597407436371,106.114921951294
"839","20",2.3415,213.1667023,0.883261221,95.50791667,298.3670044,68.36875153,0.185521845,353.0901489,1.346345425,459.9591064,985.800625,"SON","284",10,77.2011573,28.7256504,99.8690813446045,97.0851953887939,99.4852196502686,96.9856269264221,105.619818916321,97.4739171791077,86.3582958984375,97.3094885253906
"840","20",2.6025,213.1667023,1.0105,110.8654167,299.9460754,63.92412949,0.171017404,25.98090744,1.423715591,449.4169922,987.5745313,"SON","287",10,77.2011573,28.7256504,122.955401420593,120.524753494263,125.025535011292,120.743736686707,130.618926506042,119.246274528503,86.6086604881287,120.572185401916
"841","20",2.6575,213.1667023,1.034331621,126.7154167,299.7840271,67.93184662,0.167309583,103.030777,1.169052839,415.1173706,988.5502344,"SON","288",10,77.2011573,28.7256504,136.320560417175,133.94051990509,135.975868263245,132.915984725952,146.338604125977,133.651986808777,91.5007495784759,133.273465042114
"842","20",2.7085,213.1667023,1.7595,141.6979167,299.6827393,68.96051788,0.1643,112.8799133,1.30744195,439.5187683,988.8075,"SON","289",10,77.2011573,28.7256504,143.977206478119,141.213168487549,147.094716453552,143.408155212402,156.400582771301,142.447810134888,87.862216835022,142.26077507019
"843","20",2.9435,213.1667023,1.256411607,129.1258333,299.0739441,70.74124146,0.162039108,134.7518005,1.777362585,415.9959412,988.8039063,"SON","290",10,77.2011573,28.7256504,129.844548397064,127.692672405243,127.766772041321,126.834921989441,133.750593261719,127.353191013336,89.3817398738861,126.933156089783
"844","20",2.778,213.1667023,1.1705,85.05458333,298.7290039,71.9810791,0.160455785,119.9135895,1.89717555,442.831604,988.9148438,"SON","291",10,77.2011573,28.7256504,90.4078065299988,88.669591178894,90.0963833045959,88.5148198509216,95.5780610275269,88.8939035797119,84.4421377372742,89.4665432167053
"845","20",2.874,213.1667023,1.116,73.38916667,299.1690063,66.1072998,0.159448518,57.81293106,0.98124814,279.36203,989.9017969,"SON","292",10,77.2011573,28.7256504,81.6332431793213,82.1293030548096,83.8574551391602,82.8676293563843,87.1950886154175,82.4501730728149,122.726391201019,81.9098070526123
"846","20",1.642,213.1667023,0.358,94.54541667,297.9438782,57.2569046,0.158915791,327.9594727,2.293296576,511.0119629,989.7027344,"SON","293",10,77.2011573,28.7256504,95.0557844543457,92.1965702819824,90.749326133728,91.9723993682861,101.861167449951,92.9210055160522,84.4052931022644,93.6786644744873
"847","20",1.2495,213.1667023,0.259327594,88.00166667,297.387207,51.49973297,0.158867901,303.5527344,2.901265144,517.6517944,985.1678906,"SON","295",10,77.2011573,28.7256504,97.6716580581665,94.6113151168823,96.6863115310669,95.5234153366089,107.173018302917,95.7271675872803,84.4848569011688,94.5683731079102
"848","20",1.7805,213.1667023,0.7265,118.7158333,297.1222534,56.9303894,0.159149709,341.2400818,2.179956913,456.6465454,984.430625,"SON","296",10,77.2011573,28.7256504,128.771452026367,129.267378349304,132.874829063416,128.349751243591,140.059005851746,129.792673683166,85.4120259094238,127.725191650391
"849","20",1.949,213.1667023,0.995,185.9425,297.296936,64.72671509,0.1595,82.58911896,1.593688488,380.1210022,985.7342188,"SON","297",10,77.2011573,28.7256504,188.971549606323,182.67874420166,191.466302719116,183.505115394592,194.597456130981,184.250550308228,93.74055768013,184.986156768799
"850","20",2.2875,213.1667023,1.2,143.6379167,297.1149292,65.21395111,0.159859084,122.0391235,1.812775135,435.3871765,987.029375,"SON","298",10,77.2011573,28.7256504,135.72737537384,134.809366073608,132.939393615723,135.275468673706,146.248948326111,136.295891151428,90.3199391078949,134.928725738525
"851","20",1.6905,213.1667023,0.932612659,214.3627273,297.9622192,59.11707687,0.161075881,303.3907166,2.32972908,494.9508667,987.7438281,"SON","300",10,77.2011573,28.7256504,214.221191482544,207.031228713989,197.520840682983,204.904805984497,212.762614212036,205.080090827942,87.406237783432,205.543279647827
"852","20",1.644,213.1667023,2.082426883,240.9752381,297.3318481,61.81208801,0.162232456,294.6104126,1.593155742,419.0318604,988.360625,"SON","301",10,77.2011573,28.7256504,259.411038131714,253.843510513306,268.728139801025,254.422548751831,269.395226364136,257.653054656982,101.034499406815,256.391025772095
"853","20",2.566,213.1667023,3.182591052,306.83875,299.1706848,61.72660065,0.166389118,297.9907532,1.972166777,466.1876831,987.5542969,"SON","303",10,77.2011573,28.7256504,291.90606338501,303.217267532349,299.846315307617,302.468024368286,305.41564491272,302.215103378296,95.2427874088287,302.280526733398
"854","20",2.091,213.1667023,2.142,314.955,297.0968628,58.01130295,0.191539366,306.9953613,3.092404604,560.958252,989.1617188,"SON","308",11,77.2011573,28.7256504,287.282581787109,303.537898330688,302.938887710571,304.74753944397,308.469041824341,303.850139465332,85.7182477474213,303.692514724731
"855","20",1.6565,213.1667023,0.6285,195.3416667,296.7331848,51.49614716,0.197329384,291.2831116,3.411349773,586.1784668,986.6220313,"SON","309",11,77.2011573,28.7256504,195.165744018555,198.822256469727,195.863303337097,196.267555923462,204.239330825806,197.944791412354,71.7147447299957,197.675434112549
"856","20",2.225,213.1667023,0.942081215,104.7991667,296.5731506,57.03764343,0.202240729,157.9042053,1.786541224,522.1287842,984.5465625,"SON","310",11,77.2011573,28.7256504,104.276784744263,106.954400482178,104.613685684204,105.911498756409,111.4315184021,106.72209564209,79.5878424739838,105.157187728882
"857","20",2.623,213.1667023,1.276,134.4620833,295.3140259,71.96607971,0.20738631,28.27194977,1.718135476,322.7861328,988.5933594,"SON","312",11,77.2011573,28.7256504,140.492689590454,139.444749450684,141.251304893494,139.851391296387,149.262338447571,139.71620136261,81.0167292404175,138.778581848145
"858","20",1.7585,213.1667023,0.370897714,122.4391667,295.2619629,60.50572205,0.2066,319.2974854,2.976154327,355.8748474,989.0121875,"SON","313",11,77.2011573,28.7256504,139.856039276123,132.688841629028,138.589568634033,131.634259643555,147.381026725769,132.269909667969,74.4853413486481,132.320510368347
"859","20",1.873,213.1667023,1.562,178.4495833,294.155426,57.24036407,0.203093663,314.7076416,2.78942728,399.9404907,989.0428125,"SON","314",11,77.2011573,28.7256504,197.388086471558,191.632781448364,194.978944320679,193.209767837524,208.022892303467,192.6293384552,81.7039270877838,191.13043800354
"860","20",1.548,213.1667023,2.954590813,256.4475,293.4902954,54.99487305,0.197355706,312.8805847,2.437267542,325.9430237,988.1379688,"SON","315",11,77.2011573,28.7256504,260.411443481445,261.480797042847,267.799397277832,262.228471755981,271.740872955322,260.315581817627,94.7551424121857,258.961477279663
"861","20",2.2245,213.1667023,1.281326594,343.2520833,295.2179565,67.31041718,0.165850555,331.4651794,2.215313435,302.3993225,990.4967188,"SON","319",11,77.2011573,28.7256504,332.591107940674,337.875946464539,329.034417228699,339.152190246582,341.522200202942,335.519804763794,95.6820499038696,339.154530830383
"862","20",2.468,213.1667023,0.6245,141.5245833,295.7826538,59.16050339,0.159276656,316.7919922,3.778280258,509.2194214,989.9864063,"SON","320",11,77.2011573,28.7256504,168.326736907959,163.745380020142,168.008275871277,163.077702980041,179.04088596344,161.077300491333,77.1397267723084,163.889109992981
"863","20",1.37,213.1667023,0.30031684,80.96666667,295.3032532,58.98738098,0.1546,303.7252502,4.640334129,554.2702637,990.2326563,"SON","321",11,77.2011573,28.7256504,99.9409817123413,93.8081214904785,98.8162720108032,92.595722694397,107.853092384338,91.6908724975586,76.5410455131531,93.3159781646729
"864","20",1.5055,213.1667023,1.7,127.8395833,293.0680847,62.91979218,0.15216498,290.7322693,2.483187675,399.1643677,988.9880469,"SON","323",11,77.2011573,28.7256504,140.96157913208,138.591082954407,145.474069366455,140.738528823853,153.489408073425,140.02591381073,89.2996908187866,138.300193328857
"865","20",1.3485,213.1667023,2.8035597,184.4383333,292.6757202,65.51687622,0.153684637,105.8334961,1.442393303,344.64328,989.6292188,"SON","324",11,77.2011573,28.7256504,213.292453193665,211.880928115845,220.086001663208,212.201044158936,226.433652496338,210.215031585693,91.2671636581421,213.988250732422
"866","20",1.828,213.1667023,0.752,44.21708333,291.4241943,82.81056213,0.174592648,337.1272278,1.665058732,277.01828,991.82125,"SON","333",11,77.2011573,28.7256504,58.0217840576172,54.5131968688965,58.8447464179993,54.7077449607849,61.7798847579956,55.5340176200867,94.9457688045502,54.6303420639038
"867","20",1.273,213.1667023,0.657017536,107.3304348,289.3086243,72.46391296,0.174784283,290.593689,2.498104095,335.7715454,991.5664063,"DJF","335",12,77.2011573,28.7256504,124.787064552307,124.841851539612,133.606732521057,124.592114677429,142.741837501526,124.459994163513,82.8220453929901,124.566734199524
"868","20",0.819,213.1667023,0.4485,130.6920833,288.6775513,64.12013245,0.1761,288.7116699,2.825339317,242.6846161,991.7684375,"DJF","337",12,77.2011573,28.7256504,150.601996917725,135.893185653687,156.377294960022,142.208034858704,168.845667190552,137.822009124756,115.972534790039,139.33297454834
"869","20",0.884,213.1667023,1.071880304,241.7504167,288.5545654,72.2234726,0.179708456,337.7627563,1.281552792,209.9812622,995.733125,"DJF","339",12,77.2011573,28.7256504,250.391580734253,267.831982879639,283.956259613037,266.738461685181,302.082749557495,267.48103767395,126.294341154099,274.459529876709
"870","20",1.1345,213.1667023,0.913,205.7091667,289.1719666,75.80844116,0.186296576,324.0669556,1.591313481,261.9709473,993.7192188,"DJF","342",12,77.2011573,28.7256504,248.686746520996,239.035857391357,255.852406692505,239.313857498169,277.390781478882,236.179532089233,103.579467477798,240.282236099243
"871","20",1.4175,213.1667023,1.095,184.8122222,288.0596313,71.65615845,0.188606549,324.8529663,1.603727818,224.4423065,990.5309375,"DJF","344",12,77.2011573,28.7256504,230.346473999023,237.2413230896,257.973130722046,241.04838104248,282.145286712647,238.795870056152,124.668715009689,241.665936431885
"872","21",1.0265,225.2033844,0.526,300.59875,286.350769,72.83291626,0.1537,326.7924805,1.795379519,196.0227814,993.1528125,"DJF","1",1,77.2735737,28.5512005,309.918211898804,298.012969970703,301.253985900879,301.726682052612,301.454999084473,305.308269729614,88.0913128089905,305.647649688721
"873","21",1.283,225.2033844,1.023,313.11,287.43927,72.52722931,0.172439709,89.2766571,1.618263245,238.8021851,993.5089844,"DJF","2",1,77.2735737,28.5512005,318.003658981323,320.322116928101,313.314340438843,313.169377059937,316.897332458496,317.579259872437,101.624085388184,320.538236999512
"874","21",1.0325,225.2033844,0.863,358.3208333,287.0698242,70.44909668,0.186926659,306.0375061,2.626768827,312.677887,994.3019531,"DJF","3",1,77.2735737,28.5512005,356.401988525391,352.032016296387,346.673201828003,350.260751037598,347.100474128723,353.803211784363,78.8364889431,350.39932510376
"875","21",1.336,225.2033844,0.8005,230.2695833,287.1583862,68.0138092,0.204732254,110.8809738,3.116350889,311.3805237,991.609375,"DJF","5",1,77.2735737,28.5512005,255.463950881958,245.295330200195,259.767352752686,246.907889938354,254.695843658447,244.402427062988,76.2402633666992,242.928133773804
"876","21",1.2045,225.2033844,1.301121361,193.095,286.1288757,73.81440735,0.210296721,326.9265137,2.494509697,320.2453918,992.8103125,"DJF","7",1,77.2735737,28.5512005,185.149046821594,184.391791381836,183.642127685547,186.142374343872,189.500010604858,183.159634170532,88.639791431427,186.993688545227
"877","21",0.9845,225.2033844,0.648858342,160.6383333,286.3261108,73.35155487,0.209482263,300.0665283,2.648200989,326.6114197,991.1207813,"DJF","8",1,77.2735737,28.5512005,151.608546180725,155.625721321106,150.536324195862,158.773995780945,150.20717918396,155.328610649109,75.9028601074219,157.860896339417
"878","21",0.8545,225.2033844,0.197,134.50125,286.6085205,64.64147949,0.2068,298.4476013,3.257516861,335.5864868,990.3244531,"DJF","9",1,77.2735737,28.5512005,136.681853065491,135.205719032288,134.785298995972,136.558819007874,133.224110679626,135.364237098694,72.9935671615601,134.16856918335
"879","21",0.4335,225.2033844,0.1295,83.83083333,286.3893433,55.7028923,0.179283844,308.3276672,3.938396454,433.1177673,992.5740625,"DJF","14",1,77.2735737,28.5512005,87.0658143806457,87.0177138519287,87.5391394615173,86.7990636825562,87.4956073570252,86.5932585906982,69.9914340877533,87.4349968910217
"880","21",0.834,225.2033844,0.2785,259.9669565,286.3936462,67.86322021,0.1640661,313.5498047,2.181245327,207.103653,990.75625,"DJF","18",1,77.2735737,28.5512005,231.426971435547,247.122078857422,245.307588272095,247.809034118652,242.328919525146,246.681047821045,85.1095737743378,245.94826210022
