"","Station_code","CWV","ELV","AOD","PM2.5","Temp","RH","NDVI","WD","WS","BLH","Press","season","day","month","lon","lat","model_pred","model_pred_10","predicted"
"1","15",1.1115,212.9375,0.776727497,309.7916667,285.9857178,75.18700409,0.2811,310.5708008,1.733006477,186.125946,994.746875,"DJF","1",1,77.15301,28.815329,272.707263099064,272.707263099065,271.452928936588
"2","15",1.3385,212.9375,1.1755,339.2395833,287.2415771,73.26133728,0.257658952,76.54564667,1.77882123,218.25914,995.1578125,"DJF","2",1,77.15301,28.815329,301.00307093008,301.003070930081,301.263488285979
"3","15",1.0585,212.9375,0.837,367.25,286.7359009,72.90966797,0.240116198,302.8667603,2.721088886,303.9661255,995.9115625,"DJF","3",1,77.15301,28.815329,230.020071448858,230.020071448858,229.121816647488
"4","15",1.444,212.9375,0.893372914,226.3958333,286.9375,69.29840088,0.220666726,109.5846863,3.092010498,309.8878174,993.2290625,"DJF","5",1,77.15301,28.815329,230.765674912072,230.765674912072,230.133585248808
"5","15",1.3335,212.9375,0.844,145.2708333,286.7331543,76.96099091,0.217730585,41.51688385,2.133219719,269.8315735,992.713125,"DJF","6",1,77.15301,28.815329,160.978715474733,160.978715474733,161.37047780466
"6","15",0.887,212.9375,0.3135,136.4375,286.297699,66.5914917,0.2299,294.3442993,3.287951946,313.6443481,991.88,"DJF","9",1,77.15301,28.815329,130.702001593117,130.702001593117,130.819295047729
"7","15",0.767,212.9375,0.402036436,168.0681818,285.5939941,66.27719116,0.239233379,296.5422974,1.840085149,247.397522,991.8459375,"DJF","10",1,77.15301,28.815329,173.837080234815,173.837080234815,172.880469284556
"8","15",1.308,212.9375,0.835,235.4479167,285.9875183,70.23760223,0.250347359,92.30523682,1.324745178,267.3339233,993.3713281,"DJF","11",1,77.15301,28.815329,249.719822992416,249.719822992417,249.588406355798
"9","15",0.842,212.9375,1.144834803,342.6041667,287.7192078,70.08531189,0.262727228,127.1850662,1.6027385,261.0678406,992.4242188,"DJF","12",1,77.15301,28.815329,273.705765001072,273.705765001073,273.082305578483
"10","15",1.39,212.9375,1.629,240.5,287.6841431,73.40882111,0.275858274,201.2841797,2.254085779,370.7966919,994.3828125,"DJF","13",1,77.15301,28.815329,201.420619236182,201.420619236183,196.965164951573
"11","15",0.482,212.9375,0.1795,92.42045455,286.0623474,57.21801758,0.289225786,305.2072754,3.972856998,417.9030457,994.2134375,"DJF","14",1,77.15301,28.815329,82.889098391107,82.8890983911086,81.80248201629
"12","15",0.9125,212.9375,0.989746381,306.52125,285.9555664,70.97463989,0.3256,324.0153198,2.04189539,222.2350159,992.16625,"DJF","17",1,77.15301,28.815329,263.636536298491,263.636536298493,265.341134037701
"13","15",1.38,212.9375,0.4685,254.75,287.4053955,70.5617218,0.34266468,301.8206177,1.984744668,169.4020996,992.243125,"DJF","19",1,77.15301,28.815329,268.445465255823,268.445465255825,271.218253250388
"14","15",1.571,212.9375,0.757582739,110.7916667,286.5096436,87.75994873,0.364116838,49.59705353,1.558226109,227.5896759,992.6185938,"DJF","23",1,77.15301,28.815329,152.774125189802,152.774125189803,157.570853072907
"15","15",1.4615,212.9375,0.686476222,97.84782609,286.3790588,82.73206329,0.368514303,346.1824341,2.028372526,326.4653625,994.5078906,"DJF","24",1,77.15301,28.815329,89.1815277817775,89.1815277817783,94.6491915831291
"16","15",1.016,212.9375,0.94018795,77.85416667,285.7000427,76.7502594,0.3731,333.6976318,2.370897293,363.7935181,994.2532813,"DJF","25",1,77.15301,28.815329,133.382357296199,133.3823572962,137.785349036089
"17","15",0.818,212.9375,0.281,89.0625,284.4110107,71.32995605,0.378108171,318.7038574,2.701225996,408.655426,996.8479688,"DJF","26",1,77.15301,28.815329,118.948638934458,118.948638934459,123.465775093809
"18","15",0.6805,212.9375,0.291,137.0729167,283.9540405,60.21459579,0.389428121,305.7973328,3.326904297,395.4536743,996.8521875,"DJF","28",1,77.15301,28.815329,121.028578993067,121.028578993068,125.604070108086
"19","15",0.7545,212.9375,0.21,154.0520833,284.62323,57.87796021,0.395678513,301.4840088,3.19326973,286.5297241,995.3434375,"DJF","29",1,77.15301,28.815329,181.300650791685,181.300650791686,186.938381410137
"20","15",1.0675,212.9375,0.917914475,129.0568182,286.8049927,79.53092957,0.431464667,286.9528198,2.207454443,273.6430969,994.2109375,"DJF","34",2,77.15301,28.815329,179.35223606081,179.352236060811,184.627375357155
"21","15",1.014,212.9375,0.532251655,153.0729167,287.1835938,78.85316467,0.438375259,294.366394,1.615597248,201.6951294,995.1153125,"DJF","35",2,77.15301,28.815329,219.293984288355,219.293984288356,223.881695591434
"22","15",1.463,212.9375,1.755425496,207.0416667,290.291748,85.02326965,0.446698271,130.4618225,2.522743702,361.0754395,987.5509375,"DJF","37",2,77.15301,28.815329,120.648045161456,120.648045161456,124.267915666286
"23","15",0.981,212.9375,0.2215,83.60227273,286.0126953,67.21614075,0.43217757,301.5575562,3.203729153,377.3647461,993.5767969,"DJF","40",2,77.15301,28.815329,117.1313917008,117.131391700801,122.416574892876
"24","15",1.0065,212.9375,0.650361667,90.48958333,288.1575317,76.87715149,0.241185052,306.0728149,2.815248251,386.2215576,989.2171875,"DJF","48",2,77.15301,28.815329,91.8029109830312,91.8029109830315,91.4047478112694
"25","15",1.4105,212.9375,0.299712077,63.21875,290.815033,74.38386536,0.276238117,317.1903992,3.287792683,515.0167236,991.6539063,"DJF","53",2,77.15301,28.815329,47.3381829473519,47.3381829473517,45.5654906251309
