"","Station_code","CWV","ELV","AOD","PM2.5","Temp","RH","NDVI","WD","WS","BLH","Press","season","day","model_pred"
"1","15",1.1115,212.9375,0.776727497,309.7916667,285.9857178,75.18700409,0.2811,310.5708008,1.733006477,186.125946,994.746875,"DJF","1",272.707263099065
"2","15",1.3385,212.9375,1.1755,339.2395833,287.2415771,73.26133728,0.257658952,76.54564667,1.77882123,218.25914,995.1578125,"DJF","2",301.00307093008
"3","15",1.0585,212.9375,0.837,367.25,286.7359009,72.90966797,0.240116198,302.8667603,2.721088886,303.9661255,995.9115625,"DJF","3",230.020071448858
"4","15",1.444,212.9375,0.893372914,226.3958333,286.9375,69.29840088,0.220666726,109.5846863,3.092010498,309.8878174,993.2290625,"DJF","5",230.765674912072
"5","15",1.3335,212.9375,0.844,145.2708333,286.7331543,76.96099091,0.217730585,41.51688385,2.133219719,269.8315735,992.713125,"DJF","6",160.978715474733
"6","15",0.887,212.9375,0.3135,136.4375,286.297699,66.5914917,0.2299,294.3442993,3.287951946,313.6443481,991.88,"DJF","9",130.702001593117
"7","15",0.767,212.9375,0.402036436,168.0681818,285.5939941,66.27719116,0.239233379,296.5422974,1.840085149,247.397522,991.8459375,"DJF","10",173.837080234816
"8","15",1.308,212.9375,0.835,235.4479167,285.9875183,70.23760223,0.250347359,92.30523682,1.324745178,267.3339233,993.3713281,"DJF","11",249.719822992418
"9","15",0.842,212.9375,1.144834803,342.6041667,287.7192078,70.08531189,0.262727228,127.1850662,1.6027385,261.0678406,992.4242188,"DJF","12",273.705765001072
"10","15",1.39,212.9375,1.629,240.5,287.6841431,73.40882111,0.275858274,201.2841797,2.254085779,370.7966919,994.3828125,"DJF","13",201.420619236181
"11","15",0.482,212.9375,0.1795,92.42045455,286.0623474,57.21801758,0.289225786,305.2072754,3.972856998,417.9030457,994.2134375,"DJF","14",82.8890983911084
"12","15",0.9125,212.9375,0.989746381,306.52125,285.9555664,70.97463989,0.3256,324.0153198,2.04189539,222.2350159,992.16625,"DJF","17",263.636536298493
"13","15",1.38,212.9375,0.4685,254.75,287.4053955,70.5617218,0.34266468,301.8206177,1.984744668,169.4020996,992.243125,"DJF","19",268.445465255824
"14","15",1.571,212.9375,0.757582739,110.7916667,286.5096436,87.75994873,0.364116838,49.59705353,1.558226109,227.5896759,992.6185938,"DJF","23",152.774125189803
"15","15",1.4615,212.9375,0.686476222,97.84782609,286.3790588,82.73206329,0.368514303,346.1824341,2.028372526,326.4653625,994.5078906,"DJF","24",89.1815277817782
